subject|wiki_link|summary
"Gilbert du Motier, Marquis de Lafayette"|"https://en.wikipedia.org/wiki/Gilbert_du_Motier,_Marquis_de_Lafayette"| "Marie-Joseph Paul Yves Roch Gilbert du Motier de La Fayette, Marquis de La Fayette (6 September 1757 – 20 May 1834), known in the United States as Lafayette, was a French aristocrat, freemason, and military officer who volunteered to join the Continental Army, led by General George Washington, in the American Revolutionary War. Lafayette was ultimately permitted to command Continental Army troops in the decisive Siege of Yorktown in 1781, the Revolutionary War's final major battle that secured American independence. After returning to France, Lafayette became a key figure in the French Revolution of 1789 and the July Revolution of 1830 and continues to be celebrated as a hero in both France and the United States. Lafayette was born into a wealthy land-owning family in Chavaniac in the province of Auvergne in south central France. He followed the family's martial tradition and was commissioned an officer at age 13. He became convinced that the American revolutionary cause was noble, and he traveled to the New World seeking glory in it. He was made a major general at age 19, but he was initially not given American troops to command. He was wounded during the Battle of Brandywine but still managed to organize an orderly retreat, and he served with distinction in the Battle of Rhode Island. In the middle of the war, he sailed for home to lobby for an increase in French support. He returned to America in 1780 and was given senior positions in the Continental Army. In 1781, troops under his command in Virginia blocked forces led by Cornwallis until other American and French forces could position themselves for the decisive Siege of Yorktown. Lafayette returned to France and was appointed to the Assembly of Notables in 1787, convened in response to the fiscal crisis. He was elected a member of the Estates General of 1789, where representatives met from the three traditional orders of French society: the clergy, the nobility, and the commoners. After the National Constituent Assembly was formed, he helped to write the Declaration of the Rights of Man and of the Citizen with Thomas Jefferson's assistance. This document was inspired by the United States Declaration of Independence, which was authored primarily by Jefferson, and invoked natural law to establish basic principles of the democratic nation-state. He also advocated the end of slavery, in keeping with the philosophy of natural rights. After the storming of the Bastille, he was appointed commander-in-chief of France's National Guard and tried to steer a middle course through the years of revolution. In August 1792, radical factions ordered his arrest, and he fled to the Austrian Netherlands. He was captured by Austrian troops and spent more than five years in prison. Lafayette returned to France after Napoleon Bonaparte secured his release in 1797, though he refused to participate in Napoleon's government. After the Bourbon Restoration of 1814, he became a liberal member of the Chamber of Deputies, a position which he held for most of the remainder of his life. In 1824, President James Monroe invited him to the United States as the nation's guest, where he visited all 24 states in the union and met a rapturous reception. During France's July Revolution of 1830, he declined an offer to become the French dictator. Instead, he supported Louis-Philippe as king, but turned against him when the monarch became autocratic. He died on 20 May 1834 and is buried in Picpus Cemetery in Paris, under soil from Bunker Hill. He is sometimes known as 'The Hero of the Two Worlds' for his accomplishments in the service of both France and the United States."
"William Stephens Smith"|"https://en.wikipedia.org/wiki/William_Stephens_Smith"| "William Stephens Smith (November 8, 1755 – June 10, 1816) was a United States representative from New York. He married Abigail 'Nabby' Adams, the daughter of President John Adams, and so was a brother-in-law of President John Quincy Adams and an uncle of Charles Francis Adams Sr. Smith served in the Revolutionary Army as aide-de-camp to General John Sullivan in 1776. He fought in the Battle of Long Island, was wounded at Harlem Heights, fought at the Battle of White Plains, was promoted to lieutenant colonel at the Battle of Trenton and fought at the Battle of Monmouth and Newport. He was on the staff of General Lafayette in 1780 and 1781, became an adjutant in the Corps of Light Infantry, then transferred to the staff of George Washington."
"Joseph Haydn"|"https://en.wikipedia.org/wiki/Joseph_Haydn"| "Franz Joseph Haydn; 31 March 1732 – 31 May 1809 was an Austrian composer of the Classical period. He was instrumental in the development of chamber music such as the string quartet and piano trio. His contributions to musical form have led him to be called 'Father of the Symphony' and 'Father of the String Quartet'. Haydn spent much of his career as a court musician for the wealthy Esterházy family at their Eszterháza Castle. Until the later part of his life, this isolated him from other composers and trends in music so that he was, as he put it, 'forced to become original'. Yet his music circulated widely, and for much of his career he was the most celebrated composer in Europe. He was a friend and mentor of Mozart, a tutor of Beethoven, and the elder brother of composer Michael Haydn."
"Johann Wolfgang von Goethe"|"https://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe"| "Johann Wolfgang von Goethe (28 August 1749 – 22 March 1832) was a German poet, playwright, novelist, scientist, statesman, theatre director, and critic. His works include plays, poetry, literature, and aesthetic criticism, as well as treatises on botany, anatomy, and color. He is widely regarded as the greatest and most influential writer in the German language, and his work has had a profound and wide-ranging influence on Western literary, political, and philosophical thought from the late 18th century to the present day. Goethe took up residence in Weimar in November 1775 following the success of his first novel, The Sorrows of Young Werther (1774). He was ennobled by the Duke of Saxe-Weimar, Karl August, in 1782. Goethe was an early participant in the Sturm und Drang literary movement. During his first ten years in Weimar, Goethe became a member of the Duke's privy council (1776–1785), sat on the war and highway commissions, oversaw the reopening of silver mines in nearby Ilmenau, and implemented a series of administrative reforms at the University of Jena. He also contributed to the planning of Weimar's botanical park and the rebuilding of its Ducal Palace. Goethe's first major scientific work, the Metamorphosis of Plants, was published after he returned from a 1788 tour of Italy. In 1791 he was made managing director of the theatre at Weimar, and in 1794 he began a friendship with the dramatist, historian, and philosopher Friedrich Schiller, whose plays he premiered until Schiller's death in 1805. During this period Goethe published his second novel, Wilhelm Meister's Apprenticeship; the verse epic Hermann and Dorothea, and, in 1808, the first part of his most celebrated drama, Faust. His conversations and various shared undertakings throughout the 1790s with Schiller, Johann Gottlieb Fichte, Johann Gottfried Herder, Alexander von Humboldt, Wilhelm von Humboldt, and August and Friedrich Schlegel have come to be collectively termed Weimar Classicism. The German philosopher Arthur Schopenhauer named Wilhelm Meister's Apprenticeship one of the four greatest novels ever written, while the American philosopher and essayist Ralph Waldo Emerson selected Goethe as one of six 'representative men' in his work of the same name (along with Plato, Emanuel Swedenborg, Montaigne, Napoleon, and Shakespeare). Goethe's comments and observations form the basis of several biographical works, notably Johann Peter Eckermann's Conversations with Goethe (1836). His poems were set to music by many composers including Mozart, Beethoven, Schubert, Mendelssohn, Berlioz, Liszt, Wagner, and Mahler."
"Grigory Potempkin"|"https://en.wikipedia.org/wiki/Grigory_Potemkin"| "Prince Grigory Aleksandrovich Potemkin-Tauricheski (October 11 1739 – October 16 1791) was a Russian military leader, statesman, nobleman, and favourite of Catherine the Great. He died during negotiations over the Treaty of Jassy, which ended a war with the Ottoman Empire that he had overseen. Potemkin was born into a family of middle-income noble landowners. He first attracted Catherine's favor for helping in her 1762 coup, then distinguished himself as a military commander in the Russo-Turkish War (1768–1774). He became Catherine's lover, favorite and possibly her consort. After their passion cooled, he remained her lifelong friend and favored statesman. Catherine obtained for him the title of Prince of the Holy Roman Empire and gave him the title of Prince of the Russian Empire among many others: he was both a Grand Admiral and the head of all of Russia's land and irregular forces. Potemkin's achievements include the peaceful annexation of the Crimea (1783) and the successful second Russo-Turkish War (1787–1792). In 1775, Potemkin became the governor-general of Russia's new southern provinces. An absolute ruler, he worked to colonize the wild steppes, controversially dealing firmly with the Cossacks who lived there. He founded the towns of Kherson, Nikolayev, Sevastopol, and Ekaterinoslav. Ports in the region became bases for his new Black Sea Fleet. His rule in the south is associated with the (probably mythical) 'Potemkin village', a ruse involving the construction of painted façades to mimic real villages, full of happy, well-fed people, for visiting officials to see. Potemkin was known for his love of women, gambling and material wealth. He oversaw the construction of many historically significant buildings, including the Tauride Palace in Saint Petersburg."
"Catherine the Great"|"https://en.wikipedia.org/wiki/Catherine_the_Great"| "Catherine II (born Sophie of Anhalt-Zerbst; 2 May 1729 – 17 November 1796), most commonly known as Catherine the Great, was the reigning empress of Russia from 1762 to 1796. She came to power after overthrowing her husband, Peter III. Under her long reign, inspired by the ideas of the Enlightenment, Russia experienced a renaissance of culture and sciences, which led to the founding of many new cities, universities, and theatres, along with large-scale immigration from the rest of Europe and the recognition of Russia as one of the great powers of Europe. In her accession to power and her rule of the empire, Catherine often relied on her noble favourites, most notably Count Grigory Orlov and Grigory Potemkin. Assisted by highly successful generals such as Alexander Suvorov and Pyotr Rumyantsev, and admirals such as Samuel Greig and Fyodor Ushakov, she governed at a time when the Russian Empire was expanding rapidly by conquest and diplomacy. In the south, the Crimean Khanate was annexed following victories over the Bar Confederation and Ottoman Empire in the Russo-Turkish War. With the support of Great Britain, Russia colonised the territories of New Russia along the coasts of the Black and Azov Seas. In the west, the Polish–Lithuanian Commonwealth—ruled by Catherine's former lover, King Stanisław August Poniatowski—was eventually partitioned, with the Russian Empire gaining the largest share. In the east, Russians became the first Europeans to colonise Alaska, establishing Russian America. Many cities and towns were founded on Catherine's orders in the newly conquered lands, most notably Yekaterinoslav, Kherson, Nikolayev, and Sevastopol. An admirer of Peter the Great, Catherine continued to modernise Russia along Western European lines. However, military conscription and the economy continued to depend on serfdom, and the increasing demands of the state and of private landowners intensified the exploitation of serf labour. This was one of the chief reasons behind rebellions, including Pugachev's Rebellion of Cossacks, nomads, peoples of the Volga, and peasants. The Manifesto on Freedom of the Nobility, issued during the short reign of Peter III and confirmed by Catherine, freed Russian nobles from compulsory military or state service. The construction of many mansions of the nobility, in the classical style endorsed by the empress, changed the face of the country. She is often included in the ranks of the enlightened despots. As a patron of the arts, she presided over the age of the Russian Enlightenment, including the establishment of the Smolny Institute of Noble Maidens, the first state-financed higher education institution for women in Europe."
"Gustav III"|"https://en.wikipedia.org/wiki/Gustav_III"| "Gustav III (24 January 1746 – 29 March 1792),note on dates also called Gustavus III, was King of Sweden from 1771 until his assassination in 1792. He was the eldest son of King Adolf Frederick and Queen Louisa Ulrika of Sweden. Gustav was a vocal opponent of what he saw as the abuse of political privileges seized by the nobility since the death of King Charles XII. Seizing power from the government in a coup d'état, called the Swedish Revolution, in 1772 that ended the Age of Liberty, he initiated a campaign to restore a measure of royal autocracy. This was completed by the Union and Security Act of 1789, which swept away most of the powers exercised by the Swedish Riksdag (parliament) during the Age of Liberty, but at the same time it opened up the government for all citizens, thereby breaking the privileges of the nobility. A believer in enlightened absolutism, Gustav spent considerable public funds on cultural ventures, which were controversial among his critics, as well as military attempts to seize Norway with Russian aid, then a series of attempts to re-capture the Swedish Baltic dominions lost during the Great Northern War through the failed war with Russia. Nonetheless, his successful leadership in the Battle of Svensksund averted a complete military defeat and signified that Swedish military might was to be countenanced. An admirer of Voltaire, Gustav legalized Catholic and Jewish presence in Sweden, and enacted wide-ranging reforms aimed at economic liberalism, social reform and the restriction, in many cases, of torture and capital punishment. The much-praised Freedom of the Press Act of 1766 was severely curtailed, however, by amendments in 1774 and 1792, effectively extinguishing independent media. Following the uprising against the French monarchy in 1789, Gustav pursued an alliance of princes aimed at crushing the insurrection and re-instating his French counterpart, King Louis XVI, offering Swedish military assistance as well as his leadership. In 1792 he was mortally wounded by a gunshot in the lower back during a masquerade ball as part of an aristocratic-parliamentary coup attempt, but managed to assume command and quell the uprising before succumbing to sepsis 13 days later, a period during which he received apologies from many of his political enemies. Gustav's immense powers were placed in the hands of a regency under his brother Prince Carl and Gustaf Adolf Reuterholm until his son and successor Gustav IV Adolf reached adulthood in 1796. The Gustavian autocracy thus survived until 1809, when his son was ousted in another coup d'état, which definitively established parliament as the dominant political power. A patron of the arts and benefactor of arts and literature, Gustav founded the Swedish Academy, created a national costume and had the Royal Swedish Opera built. In 1772 he founded the Royal Order of Vasa to acknowledge and reward those Swedes who had contributed to advances in the fields of agriculture, mining and commerce. In 1777, Gustav III was the first formally neutral head of state in the world to recognize the United States during its war for independence from Great Britain. Swedish military forces were engaged by the thousands on the side of the colonists, largely through the French expedition force. Through the acquisition of Saint Barthélemy in 1784, Gustav enabled the restoration, if symbolic, of Swedish overseas colonies in America, as well as great personal profits from the transatlantic slave trade."
"Edward Gibbon"|"https://en.wikipedia.org/wiki/Edward_Gibbon"| "Edward Gibbon (8 May 1737 – 16 January 1794) was an English essayist, historian, and politician. His most important work, The History of the Decline and Fall of the Roman Empire, published in six volumes between 1776 and 1788, is known for the quality and irony of its prose, its use of primary sources, and its polemical criticism of organised religion."
"William Pitt the Younger"|"https://en.wikipedia.org/wiki/William_Pitt_the_Younger"| "William Pitt the Younger (28 May 1759 – 23 January 1806) was a British statesman, the youngest and last prime minister of Great Britain from 1783 until the Acts of Union 1800 and then first prime minister of the United Kingdom from January 1801. He left office in March 1801, but served as prime minister again from 1804 until his death in 1806. He was also Chancellor of the Exchequer for all of his time as prime minister. He is known as 'Pitt the Younger' to distinguish him from his father, William Pitt, 1st Earl of Chatham, who had previously served as prime minister and is referred to as 'William Pitt the Elder' (or 'Chatham' by historians). Pitt's prime ministerial tenure, which came during the reign of King George III, was dominated by major political events in Europe, including the French Revolution and the Napoleonic Wars. Pitt, although often referred to as a Tory, or 'new Tory', called himself an 'independent Whig' and was generally opposed to the development of a strict partisan political system. Pitt was regarded as an outstanding administrator who worked for efficiency and reform, bringing in a new generation of competent administrators. He increased taxes to pay for the great war against France and cracked down on radicalism. To engage the threat of Irish support for France, he engineered the Acts of Union 1800 and tried (but failed) to secure Catholic emancipation as part of the Union. He created the 'new Toryism', which revived the Tory Party and enabled it to stay in power for the next quarter-century. The historian Asa Briggs argues that his personality did not endear itself to the British mind, for Pitt was too solitary and too colourless, and too often exuded an attitude of superiority. His greatness came in the war with France. Pitt reacted to become what Lord Minto called 'the Atlas of our reeling globe'. William Wilberforce said, 'For personal purity, disinterestedness and love of this country, I have never known his equal.' Historian Charles Petrie concludes that he was one of the greatest prime ministers 'if on no other ground than that he enabled the country to pass from the old order to the new without any violent upheaval ... He understood the new Britain.' For this he is ranked highly amongst all British prime ministers in multiple surveys. Pitt served as prime minister for a total of eighteen years, 343 days, making him the second-longest serving British prime minister of all time, after Robert Walpole."
"Charles François Dumouriez"|"https://en.wikipedia.org/wiki/Charles_François_Dumouriez"| "Charles-François du Périer Dumouriez was a French military officer, minister of Foreign Affairs, minister of War in a Girondin cabinet and army general during the French Revolutionary War. With General Kellermann he shared the first French victory at Valmy where the Prussian army was forced to draw back. He rapidly advanced north (till Moerdijk); before entering Holland he decided to return to Brussels when the French armies lost territory in the east of Belgium and the Siege of Maastricht (1793). He disagreed with his successor Pache, the radical Convention and Jacobin deputies, like Robespierre and Marat, on the annexation of the wealthy Netherlands and the introduction of assignats. After losing the Battle of Neerwinden (1793), he deserted the Revolutionary Army. He refused to surrender himself to the recently installed Revolutionary Tribunal - as he would be executed - and defected to the Austrian army."
"Maximilian Robespierre"|"https://en.wikipedia.org/wiki/Maximilien_Robespierre"| "Maximilien François Marie Isidore de Robespierre (; 6 May 1758 – 9 Thermidor, Year II [28 July 1794]) was a French lawyer and statesman who became one of the most widely known, influential, and controversial figures of the French Revolution. As a member of the Estates-General, the Constituent Assembly, and the Jacobin Club, he campaigned for the right to vote of all men, especially for the excluded passive citizen and for the abolition of the death penalty in times of peace and the abolition of Atlantic slave trade. In 1791, Robespierre was elected as 'public accuser' and became an outspoken advocate for male citizens without a political voice, for their unrestricted admission to the National Guard, to public offices, and to the commissioned ranks of the army, for the right to petition and the right to bear arms in self defence. Robespierre played an important part in the agitation which brought about the fall of the French monarchy on 10 August 1792 and the convocation of the National Convention. His goal was to create a one and indivisible France, establish equality before the law, abolish prerogatives, and defend the principles of direct democracy. Originally a lawyer, he became involved with politics as one of the representatives of the Estates-General in 1789. As one of the leading members of the Paris Commune, Robespierre was elected as a deputy to the French Convention in early September 1792 but was soon criticised for trying to establish either a triumvirate or a dictatorship. In April 1793, Robespierre urged the Jacobins to raise a sans-culotte army to enforce revolutionary laws and sweep away any counter-revolutionary conspirator, leading to the armed Insurrection of 31 May – 2 June 1793. Because of his health, Robespierre announced he was to resign but on 27 July he was appointed as a member of the powerful Committee of Public Safety. This allowed him to successfully promote a reorganisation of the Revolutionary Tribunal, a war cabinet, and worship of a Supreme Being. Although Robespierre always had like-minded allies, the politically motivated violence that the Montagne faction often promoted disillusioned others. Both members of the Convention and the French public eventually turned against him. In the middle of the night he and his allies were arrested in the Paris town hall on 9 Thermidor. Robespierre was wounded in his jaw, but it is not known if it was self-inflicted or the outcome of the skirmish. About 90 people, including Robespierre, were executed in the days after, events that initiated a period known as the Thermidorian Reaction, and the left wing in the convention was decimated. A divisive figure during his lifetime due to his views and policies, Robespierre remains controversial to this day. Perhaps no one divides France more than Robespierre. His legacy and reputation continue to be subject to academic and popular debate. To some, Robespierre was the Revolution's principal ideologist and embodied the country's first democratic experience, marked by the often-revised and never-implemented French Constitution of 1793. To others, he was the incarnation of the Terror itself."
"Napoleon Bonaparte"|"https://en.wikipedia.org/wiki/Napoleon"| "Napoleon Bonaparte (born Napoleone Buonaparte; 15 August 1769 – 5 May 1821), later known by his regnal name Napoleon I, was a French military commander and political leader who rose to prominence during the French Revolution and led successful campaigns during the Revolutionary Wars. He was the leader of the French Republic as First Consul from 1799 to 1804, then of the French Empire as Emperor of the French from 1804 until 1814 and briefly again in 1815. Napoleon's political and cultural legacy endures as a celebrated and controversial leader. He initiated many liberal reforms that have persisted, and is considered one of the greatest military commanders in history. His campaigns are still studied at military academies worldwide. Between three and six million civilians and soldiers died in the Napoleonic Wars. Napoleon was born on the island of Corsica to a native family descending from Italian nobility. He supported the French Revolution in 1789 while serving in the French army, and tried to spread its ideals to his native Corsica. He rose rapidly after he saved the governing French Directory by firing on royalist insurgents. In 1796, he began a military campaign against the Austrians and their Italian allies, scoring decisive victories, and became a national hero. Two years later he led a military expedition to Egypt that served as a springboard to political power. He engineered a coup in November 1799 and became First Consul of the Republic. In 1804, to consolidate and expand his power, he crowned himself Emperor of the French. Differences with the United Kingdom meant France faced the War of the Third Coalition by 1805. Napoleon shattered this coalition with victories in the Ulm campaign and at the Battle of Austerlitz, which led to the dissolution of the Holy Roman Empire. In 1806, the Fourth Coalition took up arms against him. Napoleon defeated Prussia at the battles of Jena and Auerstedt, marched the Grande Armée into Eastern Europe, and defeated the Russians in June 1807 at Friedland, forcing the defeated nations of the Fourth Coalition to accept the Treaties of Tilsit. Two years later, the Austrians challenged the French again during the War of the Fifth Coalition, but Napoleon solidified his grip over Europe after triumphing at the Battle of Wagram. Hoping to extend the Continental System, his embargo against Britain, Napoleon invaded the Iberian Peninsula and declared his brother Joseph the King of Spain in 1808. The Spanish and the Portuguese revolted in the Peninsular War aided by a British army, culminating in defeat for Napoleon's marshals. Napoleon launched an invasion of Russia in the summer of 1812. The resulting campaign witnessed the catastrophic retreat of Napoleon's Grande Armée. In 1813, Prussia and Austria joined Russian forces in a Sixth Coalition against France, resulting in a large coalition army defeating Napoleon at the Battle of Leipzig. The coalition invaded France and captured Paris, forcing Napoleon to abdicate in April 1814. He was exiled to the island of Elba, between Corsica and Italy. In France, the Bourbons were restored to power. Napoleon escaped in February 1815 and took control of France. The Allies responded by forming a Seventh Coalition, which defeated Napoleon at the Battle of Waterloo in June 1815. The British exiled him to the remote island of Saint Helena in the Atlantic, where he died in 1821 at the age of 51. Napoleon had an extensive impact on the modern world, bringing liberal reforms to the lands he conquered, especially the regions of the Low Countries, Switzerland, and parts of modern Italy and Germany. He implemented many liberal policies in France and Western Europe."
"Bernardo O'Higgins"|"https://en.wikipedia.org/wiki/Bernardo_O%27Higgins"| "Bernardo O'Higgins Riquelme 20 August 1778 – 24 October 1842) was a Chilean independence leader who freed Chile from Spanish rule in the Chilean War of Independence. He was a wealthy landowner of Basque-Spanish and Irish ancestry. Although he was the second Supreme Director of Chile (1817–1823), he is considered one of Chile's founding fathers, as he was the first holder of this title to head a fully independent Chilean state. He was Captain General of the Chilean Army, Brigadier of the United Provinces of the Río de la Plata, General Officer of Gran Colombia and Grand Marshal of Peru."
"Thomas Jefferson"|"https://en.wikipedia.org/wiki/Thomas_Jefferson"| "Thomas Jefferson (April 13, 1743 – July 4, 1826) was an American statesman, diplomat, lawyer, architect, philosopher, and Founding Father who served as the third president of the United States from 1801 to 1809. Among the Committee of Five charged by the Second Continental Congress with drafting the Declaration of Independence, Jefferson was the document's primary author. Following the American Revolutionary War and prior to becoming president in 1801, Jefferson was the first U.S. secretary of state under George Washington and then the nation's second vice president under John Adams. Jefferson's writings and advocacy for human rights, including freedom of thought, speech and religion, helped inspire the American Revolution, which ultimately led the successful American Revolutionary War. This in turn led to American independence, the Constitution of the United States, and the establishment of the United States as a free and sovereign nation. He was a leading proponent of democracy, republicanism, and individual rights, and produced formative documents and decisions at the state, national and international levels. During the American Revolution, Jefferson represented Virginia at the Second Continental Congress, which adopted the Declaration of Independence, and served as the second governor of Virginia from 1779 to 1781. In 1785, Congress appointed Jefferson U.S. minister to France, where he served from 1785 to 1789. President Washington then appointed Jefferson the nation's first secretary of state, where he served from 1790 to 1793. During this time, in the early 1790s, Jefferson and James Madison organized the Democratic-Republican Party to oppose the Federalist Party during the formation of the nation's First Party System. With Madison, Jefferson anonymously wrote the Kentucky and Virginia Resolutions in 1798 and 1799, which sought to strengthen states' rights by nullifying the federal Alien and Sedition Acts. Jefferson and Federalist John Adams became both friends and political rivals, serving in the Continental Congress and drafting the Declaration of Independence together. In the 1796 U.S. presidential election between the two, Jefferson came in second, which according to electoral procedure at the time made him Adams' vice president. Jefferson challenged Adams again four years later, in 1800, and won the presidency. In 1804, Jefferson was overwhelmingly reelected to a second term as president. While then constitutionally eligible to run for a third term, Jefferson followed Washington's precedent of limiting his presidency to two terms. Jefferson eventually reconciled with Adams, and the two shared a correspondence that lasted 14 years. He and Adams both died within hours of each other on the same day, July 4, 1826, the 50th anniversary of the Declaration of Independence. As president, Jefferson pursued the nation's shipping and trade interests against Barbary pirates and aggressive British trade policies. Beginning in 1803, he promoted a western expansionist policy with the Louisiana Purchase, which doubled the nation's claimed land area. To make room for settlement, Jefferson began the process of Indian tribal removal from the newly acquired territory. As a result of peace negotiations with France, his administration was able to reduce military forces and expenditures. Jefferson's second term as president was beset by difficulties at home, including the trial of former vice president Aaron Burr. In 1807, American foreign trade was diminished when Jefferson implemented the Embargo Act in response to British threats to U.S. shipping. Jefferson was a slave owner, but also condemned the slave trade in his draft of the Declaration of Independence and signed the Act Prohibiting Importation of Slaves in 1807. Since the 1790s, he was rumored to have had children by his slave Sally Hemings. According to scholarly consensus, Jefferson probably fathered at least six children with Hemings, including four that survived to adulthood. After retiring from public office, Jefferson founded the University of Virginia. Presidential scholars and historians generally praise Jefferson's public achievements, including his advocacy of religious freedom and tolerance, his peaceful acquisition of the Louisiana Territory from France, and the successful Lewis and Clark Expedition. Jefferson is consistently ranked among the top ten presidents in American history. "
"James Madison"|"https://en.wikipedia.org/wiki/James_Madison"| "James Madison (March 16, 1751 – June 28, 1836) was an American statesman, diplomat, and Founding Father who served as the fourth president of the United States from 1809 to 1817. Madison is hailed as the 'Father of the Constitution' for his pivotal role in drafting and promoting the Constitution of the United States and the Bill of Rights. Madison was born into a prominent slave-owning planter family in Virginia. He served as a member of the Virginia House of Delegates and the Continental Congress during and after the American Revolutionary War. Dissatisfied with the weak national government established by the Articles of Confederation, he helped organize the Constitutional Convention, which produced a new constitution designed to strengthen republican government against democratic assembly. Madison's Virginia Plan was the basis for the convention's deliberations, and he was an influential voice at the convention. He became one of the leaders in the movement to ratify the Constitution and joined Alexander Hamilton and John Jay in writing The Federalist Papers, a series of pro-ratification essays that remains prominent among works of political science in American history. Madison emerged as an important leader in the House of Representatives and was a close adviser to President George Washington. During the early 1790s, Madison opposed the economic program and the accompanying centralization of power favored by Secretary of the Treasury Hamilton. Alongside Thomas Jefferson, he organized the Democratic–Republican Party in opposition to Hamilton's Federalist Party. After Jefferson was elected president in 1800, Madison served as his Secretary of State from 1801 to 1809 and supported Jefferson in the case of Marbury v. Madison. While Madison was Secretary of State, Jefferson made the Louisiana Purchase, and later, as President, Madison oversaw related disputes in the Northwest Territories. Madison was elected president in 1808. Motivated by desire to acquire land held by Britain, Spain, and Native Americans, and after diplomatic protests with a trade embargo failed to end British seizures of American shipped goods, Madison led the United States into the War of 1812. Although the war ended inconclusively, many Americans viewed the war's outcome as a successful 'second war of independence' against Britain. Madison was re-elected in 1812, albeit by a smaller margin. The war convinced Madison of the necessity of a stronger federal government. He presided over the creation of the Second Bank of the United States and the enactment of the protective Tariff of 1816. By treaty or through war, Native American tribes ceded 26,000,000 acres (11,000,000 ha) of land to the United States under Madison's presidency. Retiring from public office at the end of his presidency in 1817, Madison returned to his plantation, Montpelier, and died there in 1836. During his lifetime, Madison was a slave owner. In 1783, to prevent a slave rebellion at Montpelier, Madison freed one of his slaves. He did not free any slaves in his will. Among historians, Madison is considered one of the most important Founding Fathers of the United States. Leading historians have generally ranked him as an above-average president, although they are critical of his endorsement of slavery and his leadership during the War of 1812. Madison's name is commemorated in many landmarks across the nation, both publicly and privately, with prominent examples including Madison Square Garden, James Madison University, the James Madison Memorial Building, and the USS James Madison."
"Arthur Wellesley"|"https://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"| "Arthur Wellesley, 1st Duke of Wellington, KG, GCB, GCH, PC, FRS (1 May 1769 – 14 September 1852) was an Anglo-Irish statesman, soldier, and Tory politician who was one of the leading military and political figures of 19th-century Britain, serving twice as prime minister of the United Kingdom. He is among the commanders who won and ended the Napoleonic Wars when the Seventh Coalition defeated Napoleon at the Battle of Waterloo in 1815. Wellesley was born in Dublin into the Protestant Ascendancy in Ireland. He was commissioned as an ensign in the British Army in 1787, serving in Ireland as aide-de-camp to two successive lords lieutenant of Ireland. He was also elected as a member of Parliament in the Irish House of Commons. He was a colonel by 1796 and saw action in the Netherlands and in India, where he fought in the Fourth Anglo-Mysore War at the Battle of Seringapatam. He was appointed governor of Seringapatam and Mysore in 1799 and, as a newly appointed major-general, won a decisive victory over the Maratha Confederacy at the Battle of Assaye in 1803. Wellesley rose to prominence as a general during the Peninsular campaign of the Napoleonic Wars, and was promoted to the rank of field marshal after leading the allied forces to victory against the French Empire at the Battle of Vitoria in 1813. Following Napoleon's exile in 1814, he served as the ambassador to France and was made Duke of Wellington. During the Hundred Days in 1815, he commanded the allied army which, together with a Prussian Army under Field Marshal Gebhard von Blücher, defeated Napoleon at Waterloo. Wellington's battle record is exemplary; he ultimately participated in some 60 battles during the course of his military career. Wellington is famous for his adaptive defensive style of warfare, resulting in several victories against numerically superior forces while minimising his own losses. He is regarded as one of the greatest defensive commanders of all time, and many of his tactics and battle plans are still studied in military academies around the world. After the end of his active military career, he returned to politics. He was twice British prime minister as a member of the Tory party from 1828 to 1830 and for a little less than a month in 1834. He oversaw the passage of the Roman Catholic Relief Act 1829, while he opposed the Reform Act 1832. He continued as one of the leading figures in the House of Lords until his retirement and remained Commander-in-Chief of the British Army until his death."
